"google_district","address_count_new","address_w_private_outdoor_space_count_new","percent_addresses_w_private_outdoor_space_new","total_area_private_outdoor_space_m2_new","average_size_private_outdoor_space_m2_new","avg_dist_nearest_public_green_m_new","avg_count_public_green_1000m_radius_new","avg_combined_size_public_green_1000m_radius_m2_new"
"Bath and North East Somerset",83926,75558,0.900293115363535,25003607.6,389.8,354.37,4.58,142329.24
"Bedford",76724,69716,0.908659611073458,20923075.4,344,377.98,3.91,407659.56
"Blackburn with Darwen",61422,58130,0.946403568753867,9414653.2,172.6,355.95,4.43,464478.95
"Blackpool",72477,66038,0.911158022545083,8479724.5,150,386.83,3.82,218770.9
"Borough of Halton",57852,54582,0.943476457166563,11479927.8,223.7,338.42,5.64,349810
"Dorset",363313,326816,0.899543919430353,119025023.2,431.6,493.16,3.17,255278.98
"Bracknell Forest",50967,45613,0.894951635371907,12479177.3,309.8,331.78,4.76,449507.38
"Brighton and Hove",132413,115156,0.869672917311744,17781240,245,307.54,4.97,210135.04
"Bristol City",201144,168968,0.840034999801137,24347022.6,180.8,276.19,6.22,753173.86
"Buckinghamshire",228662,202248,0.884484523007758,92992748.9,555.725,451.8075,2.99,157626.7175
"Cambridgeshire",287193,259785,0.904565919085772,100968291.9,414.06,495.77,3.134,164478.648
"Central Bedfordshire",122013,109884,0.900592559809201,32991957.8,322.2,437.64,2.87,190263.76
"Cheshire East",183425,166283,0.9065449093635,63633847.6,408.3,395.49,3.95,173151.74
"Cheshire West and Chester",160694,147053,0.915111951908597,53336793.5,388.8,393.59,4.84,344058.39
"Cornwall",278375,248331,0.892073641670409,112811867.9,555.1,349.355,3.215,50599.53
"County Durham",248196,233648,0.94138503440829,48847379.1,215.7,404.9,3.17,132629.51
"Cumbria",250407,226896,0.906108854784411,86631342.3,420.5,417.98,3.86,160097.136666667
"Darlington",51202,48521,0.947638764110777,9740278.8,219.2,419.16,3.44,180449.8
"Derby",111404,100622,0.903217119672543,20144023.8,216.3,315.43,4.21,363411.56
"Derbyshire",366200,340081,0.928675587110868,105463760.7,334.2,382.24875,3.88,280176.45125
"Devon",377834,335961,0.88917619907155,149700296.4,514.15,462.03,3.24125,207467.7875
"East Riding of Yorkshire",159182,146947,0.923138294530789,55888006.6,400.5,599.47,2.6,81575.04
"East Sussex",256134,226165,0.88299483863915,108052579.6,511.74,419.542,4.168,339460.586
"Essex",648182,578593,0.892639721559685,251723975,510.433333333333,410.484166666667,3.59,419951.225
"Gloucestershire",296959,268695,0.904821877767638,108163974.4,463.916666666667,394.268333333333,3.76166666666667,194155.58
"Greater London",3705559,2939335,0.79322310075214,365406172,174.60303030303,292.240909090909,6.62333333333333,716874.801515152
"Greater Manchester",1115262,987427,0.885376709687948,159497013.8,183.455555555556,326.891111111111,4.99,412015.821111111
"Hampshire",605139,548560,0.906502472985545,213087730.3,415.963636363636,422.831818181818,3.47090909090909,333069.723636364
"Hartlepool",44273,41641,0.940550674225826,7053700.6,183,484.69,2.9,162026.68
"Herefordshire",85966,76640,0.891515250215201,49447363.2,692.9,552.91,4.39,167296.28
"Hertfordshire",498183,422119,0.847317150525008,133073594.3,338.51,346.862,4.758,572388.365
"Isle of Wight",73715,66385,0.900562979040901,24713007.2,445,394.07,4.03,120289.21
"Kent",682387,614483,0.900490484138766,226985857.3,422.05,386.3675,4.1725,284453.925
"Kingston upon Hull",121955,111330,0.912877700791276,14617045.7,140.7,395.87,3.6,243141.25
"Lancashire",551650,503456,0.912636635547902,123352957.6,266.25,372.621666666667,3.99916666666667,291433.124166667
"Leicester",140317,119944,0.854807329119066,17514800.9,166.4,309.97,5.51,427977.55
"Leicestershire",301069,276054,0.916912734290146,90896818.5,353.185714285714,427.1,3.51428571428571,214540.23
"Lincolnshire",347772,323529,0.93029053517822,143562110,457.785714285714,657.732857142857,2.43142857142857,115887.388571429
"Luton",82024,71593,0.872829903442895,12350619.2,199.7,351.68,4.18,405375.93
"Medway",115845,106946,0.923181837800509,20911848.8,216.1,298.83,5.1,304957.12
